7961,"High School Big Shot",1958,TV-PG,"Drama|Crime","Joel Rapp","Tom Pittman|Virginia Aldridge|Howard Veit",61,"Desperate to become popular, a teenager turns to a life of crime in an effort to impress the prettiest - and greediest - girl in school.",jsonld
7962,"Home Town Story",1950,TV-PG,"Drama|Comedy","Arthur Pierson","Marilyn Monroe|Jeffrey Lynn|Donald Crisp",61,"Iris Martin, a secretary to the editor of a small-town newspaper, begins a campaign to prove that corrupt big business has taken over City Hall.",jsonld
7964,"Inner Sanctum",1947,TV-PG,"Thriller|Mystery","Lew Landers","Charles Russell|Mary Beth Hughes|Dale Belding",62,"Harold Dunlap commits a murder on what he believes to be a deserted train platform, save for one young boy who isn’t quite sure what he’s witnessed.",jsonld
7965,"Kansas City Confidential",1951,TV-PG,"","Phil Karlson","John Payne|Coleen Gray|Preston Foster",99,"Framed by a crooked cop for a million-dollar heist, a delivery driver pursues the real culprits to Mexico to unmask their scheme and win his freedom.",jsonld
7966,"Karate Warriors",1975,R,"Action|Drama","Kazuhiko Yamaguchi","Sonny Chiba|Akane Kawasaki|Akiko Koyama",88,"A mercenary killer wanders into town and pits two rival gangs against each other in an all-out battle over a big stash of heroin.",jsonld
7967,"Lady of Burlesque",1942,TV-PG,"Comedy|Mystery","William A. Wellman","Barbara Stanwyck|Michael O'Shea|Iris Adrian",90,"A striptease artist is up to her neck in trouble when two fellow dancers are found strangled by their own g-strings and she becomes the prime suspect!",jsonld
7968,"Last Woman on Earth",1959,TV-PG,"Sci-Fi|Horror","Roger Corman","Betsy Jones-Moreland|Antony Carbone|Robert Towne",70,"While scuba diving on vacation in Puerto Rico, a couple and their friend resurface from the ocean to find that something has wiped out humanity.",jsonld
7969,"Legend of Eight Samurai",1982,TV-14,"","Kinji Fukasaku","Hiroko Yakushimaru|Hiroyuki Sanada|Shin'ichi Chiba",133,"After escaping the vengeful grip of the undead Hikita spirits, Princess Shizu goes on a quest to find the eight warriors destined to defeat them.",jsonld
7971,"The Long Arm of the Godfather",1971,TV-MA,"Drama|Crime|Action|Foreign/International","Nardo Bonomi","Adolfo Celi|Peter Lee Lawrence|Erika Blanc",84,"A ""Mustache Pete"" Mafia boss (Celi) seeks bloody retribution when is he double-crossed by a treacherous low-level hood (Lawrence). Watch for the sum",jsonld
7972,"Die Zuhälterin",1977,R,"Action|Crime|Mystery|Thriller","Stelvio Massi","Maurizio Merli|Joan Collins|Franco Ressel",85,"The investigation of a missing girl leads a private detective to Austria's underworld and a prostitution racket run by a sleazy femme fatale.",jsonld
7973,"Marihuana",1935,TV-14,"Crime|Drama","Dwain Esper","Harley Wood|Hugh McArthur|Pat Carlyle",56,"Neglected by her family, a high school girl falls in with a bad crowd and discovers the evils of smoking marijuana in this early exploitation film.",jsonld
7974,"Mister Scarface",1976,TV-MA,"Thriller|Crime|Foreign/International","Fernando Di Leo","Jack Palance|Al Cliver|Harry Baer",86,"Two small-time hoodlums plot to get even with their ruthless mafia kingpin boss who is maneuvering to corner the criminal market throughout Rome.",jsonld
7975,"Narcotic",1932,TV-14,"Drama","Dwain Esper","Harry Cording|Joan Dix|Patricia Farley",57,"Dr. William G. Davies, an infamous snake-oil salesman, started his career as a promising medical student. But the allure of opium proves too strong fo",jsonld
7976,"The Narcotic Story",1957,TV-14,"Drama","Robert W. Larsen","Art Gilmore|Herbert Crisp|Joe Delro",74,"Get ready for a roller-coaster trip of emotion with this campy collection from the golden age of Hollywood! Originally intended to warn America's yout",jsonld
7977,"Night of the Living Dead",1967,TV-MA,"Horror","George A. Romero","Duane Jones|Judith O'Dea|Karl Hardman",95,"A group of strangers struggle to fend off an attack of bloodthirsty zombies while barricading themselves inside a rural Pennsylvania farmhouse.",jsonld
7978,"Outpost in Morocco",1948,TV-PG,"Action|Adventure","Robert Florey","George Raft|Marie Windsor|Akim Tamiroff",90,"An emir's vivacious daughter and a dashing Foreign Legion captain get caught in a web of intrigue and high adventure in post-war French Morocco.",jsonld
8001,"Port of New York",1948,TV-14,"Crime|Drama","Laslo Benedek","Yul Brinner|K.T. Stevens|Richard Rober",81,"Two narcotics agents walk into a death trap when they infiltrate the crew of a kingpin whose yacht club is a front for his heroin smuggling operation.",jsonld
8004,"Reefer Madness",1935,TV-PG,"Crime|Drama","Louis J. Gasnier","Dorothy Short|Kenneth Craig|Lillian Miles",65,"The propaganda film-turned-comedic cult classic depicts teens who take a puff of the “demon weed” and plunge into a vortex of sex, murder and lunacy.",jsonld
8005,"Revolver",1972,TV-MA,"Action","Sergio Sollima","Oliver Reed|Fabio Testi|Paola Pitagora",109,"After violent criminals kidnap the wife of a tough prison warden and demand the release of an inmate, but the warden strikes back with a hostage of hi",jsonld
8006,"Sex Madness",1937,TV-14,"Drama","Dwain Esper","Vivian McGill|Rose Tapley|Al Rigali",52,"An exploitation film directed by Dwain Esper, along the lines of Reefer Madness, supposedly to warn teenagers and young adults of the dangers of vener",jsonld
8007,"Maniac",1933,TV-14,"Horror|Sci-Fi","Dwain Esper","Horace B. Carpenter|Ted Edwards|Bill Woods",51,"Leaving his vaudevillian life behind, a master impressionist takes a job assisting a mad scientist in his experiments with reanimating the dead.",jsonld
8009,"She Shoulda Said No",1948,TV-MA,"Drama","Sam Newfield","Alan Baxter|Lyle Talbot|Lila Leeds",69,"Get ready for a roller-coaster trip of emotion with this campy collection from the golden age of Hollywood! Originally intended to warn America's yout",jsonld
8049,"Slaves in Bondage",1936,TV-14,"Crime|Drama","Elmer Clifton","Lona Andre|Donald Reed|Wheeler Oakman",69,"Mary Lou’s escape from a gang trafficking women from a beauty shop into forced sex work gets the cops and a local newspaper to bring down the brothel.",jsonld
8052,"Street Law",1973,TV-MA,"Action|Thriller","Enzo G. Castellari","Franco Nero|Giancarlo Prete|Barbara Bach",101,"In this Death Wish-inspired thriller, an average Joe is hell-bent on carrying out his own brand of justice after he is brutally beaten up by thugs!",jsonld
8056,"The Cynic, the Rat & the Fist",1976,TV-MA,"Action|Crime|Thriller|Foreign/International","Umberto Lenzi","Maurizio Merli|John Saxon|Tomas Milian",95,"In one of best Italian crime thrillers of 70s, a cunning cop (Maurizio Merli) sees an opportunity to take the syndicate down when street warfare break",jsonld
8058,"The Devil's Sleep",1948,TV-14,"Crime|Drama","W.Merle Connell","Lita Grey|John Mitchum|William Thomason",71,"Get ready for a roller-coaster trip of emotion with this campy collection from the golden age of Hollywood! Originally intended to warn America's yout",jsonld
8062,"The Naked Kiss",1963,TV-14,"Drama|Crime","Samuel Fuller","Constance Towers|Anthony Eisley|Michael Dante",90,"A former sex worker’s metamorphosis into polite society takes a lurid turn when she discovers the perverse truth about her millionaire fiancé.",jsonld
8063,"The Second Woman",1949,TV-PG,"Drama|Mystery|Romance","James V. Kern","Robert Young|Betsy Drake|John Sutton",90,"The new girlfriend in a successful but troubled architect's life slowly uncovers foul play behind his former bride's death and his own torment.",jsonld
8066,"The Violent Years",1955,TV-MA,"Crime|Thriller","William Morgan","Jean Moorhead|Barbara Weeks|Arthur Millan",56,"When a straight-laced teen feels ignored by her wealthy parents, she leads her friends down a path of hijackings, lust, and even murder.",jsonld
8070,"Tomorrow's Children",1933,TV-PG,"Drama","Crane Wilbur","Diane Sinclair|Donald Douglas|John Preston",53,"Get ready for a roller-coaster trip of emotion with this campy collection from the golden age of Hollywood! Originally intended to warn America's yout",jsonld
